Tm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Matches,Games,Last Updated
ARI,9,17,17,18,23,19,11,15,10,8,7,2,2,2,14,162,2025-12-16 12:57:14
LAA,8,13,16,20,20,25,13,13,8,9,3,5,3,2,14,162,2025-12-16 12:57:14
TOR,8,25,20,20,23,20,9,8,9,8,3,4,1,1,14,162,2025-12-16 12:57:14
STL,13,15,21,18,18,22,10,15,10,6,4,5,3,1,14,162,2025-12-16 12:57:14
SFG,7,18,32,26,17,18,9,7,14,4,1,5,2,2,14,162,2025-12-16 12:57:14
ATH,11,19,18,23,19,9,10,13,8,8,7,8,4,1,14,162,2025-12-16 12:57:14
NYY,11,17,26,26,26,15,8,9,6,5,2,4,5,1,14,162,2025-12-16 12:57:14
MIN,10,20,18,18,23,16,17,8,7,8,6,3,3,1,14,162,2025-12-16 12:57:14
ATL,8,19,24,23,22,18,14,7,5,6,6,3,2,3,14,162,2025-12-16 12:57:14
WSN,9,9,12,20,21,17,16,16,13,6,6,11,1,1,14,162,2025-12-16 12:57:14
CIN,9,26,25,19,26,11,15,8,3,4,3,6,4,3,14,162,2025-12-16 12:57:14
BAL,7,24,16,21,17,20,16,11,7,5,5,6,1,2,14,162,2025-12-16 12:57:14
COL,3,8,12,15,22,16,22,9,15,12,10,4,3,4,14,162,2025-12-16 12:57:14
CHW,9,14,18,28,20,16,21,8,11,5,6,1,3,2,14,162,2025-12-16 12:57:14
HOU,12,21,18,32,21,13,11,19,5,1,2,0,2,2,13,162,2025-12-16 12:57:14
TEX,14,19,24,29,24,18,18,3,2,3,3,2,0,1,13,162,2025-12-16 12:57:14
SEA,11,15,25,29,17,14,18,7,6,8,7,3,2,0,13,162,2025-12-16 12:57:14
CHC,15,25,18,30,18,8,13,7,12,3,4,2,3,0,13,160,2025-12-16 12:57:14
PHI,14,22,28,16,22,16,17,6,5,7,3,3,0,1,13,162,2025-12-16 12:57:14
NYM,9,19,15,26,19,21,16,16,6,7,2,4,2,0,13,162,2025-12-16 12:57:14
CLE,16,17,27,12,26,22,14,11,3,5,5,2,0,2,13,162,2025-12-16 12:57:14
MIA,11,13,22,17,24,14,10,21,8,3,8,3,3,0,13,162,2025-12-16 12:57:14
DET,17,22,21,17,16,17,14,9,11,5,5,4,2,0,13,162,2025-12-16 12:57:14
MIL,12,20,35,18,15,21,11,12,8,3,3,2,1,0,13,162,2025-12-16 12:57:14
KCR,10,21,18,31,23,18,13,12,9,1,5,0,1,0,12,162,2025-12-16 12:57:14
PIT,19,23,17,25,22,15,8,8,8,7,5,0,2,0,12,162,2025-12-16 12:57:14
SDP,17,22,18,23,31,7,16,8,9,5,4,0,1,0,12,162,2025-12-16 12:57:14
BOS,11,21,17,25,23,22,11,11,7,6,5,1,0,0,12,162,2025-12-16 12:57:14
TBR,11,17,18,24,29,19,17,10,7,3,0,4,0,2,12,162,2025-12-16 12:57:14
LAD,10,18,22,22,20,25,13,12,5,5,1,5,0,0,12,160,2025-12-16 12:57:14
